,tconst,averageRating,numVotes
124177,tt0186045,5.7,14740
124216,tt0186151,7.4,108600
124237,tt0186183,6.1,3596
124249,tt0186202,5.5,913
124257,tt0186221,7.8,18
124391,tt0186454,3.7,458
124457,tt0186549,5.4,409
124468,tt0186566,6.5,81639
124476,tt0186589,5.7,14429
124557,tt0186719,4.1,207
124597,tt0186785,7.7,31
124676,tt0186894,5.8,21002
124731,tt0186975,4.9,15183
124793,tt0187078,6.5,278165
124831,tt0187158,5.2,19
124983,tt0187387,5.1,140
124988,tt0187393,7.2,274245
125071,tt0187512,5.0,5650
125101,tt0187559,5.9,845
125191,tt0187696,6.0,13426
125207,tt0187738,6.7,217771
125211,tt0187750,4.8,363
125214,tt0187761,5.0,117
125246,tt0187838,7.2,15
125253,tt0187847,6.5,43
125304,tt0188024,7.5,23
125315,tt0188045,5.5,295
125322,tt0188055,5.3,2258
125353,tt0188128,6.6,1301
125375,tt0188160,6.1,873
125502,tt0188378,7.6,28
125540,tt0188453,6.0,25620
125554,tt0188490,6.7,84
125568,tt0188518,5.8,855
125601,tt0188575,5.4,78
125641,tt0188688,4.5,155
125906,tt0189192,5.7,19338
126056,tt0189456,4.3,3505
126109,tt0189541,4.8,1591
126367,tt0189998,6.9,42086
126393,tt0190052,4.3,124
126445,tt0190138,6.7,121427
126538,tt0190332,7.9,268654
126556,tt0190374,3.6,33644
126563,tt0190398,4.9,222
126585,tt0190449,6.2,88
126598,tt0190487,6.4,39
126615,tt0190524,4.3,9810
126619,tt0190530,5.5,7
126651,tt0190590,7.7,310400
126738,tt0190736,4.2,602
126819,tt0190861,6.5,7892
126823,tt0190865,5.9,62013
126861,tt0190938,5.4,991
126883,tt0190994,4.6,144
126906,tt0191037,5.6,2283
126919,tt0191074,5.2,3344
126949,tt0191133,5.5,7250
126970,tt0191177,5.2,87
126987,tt0191211,5.4,51
127000,tt0191242,5.1,616
127079,tt0191397,6.6,65262
127121,tt0191476,6.1,148
127220,tt0191636,7.1,5576
127289,tt0191754,6.1,50170
127309,tt0191787,5.8,78
127328,tt0191834,4.9,10
127392,tt0191996,6.1,4113
127406,tt0192023,6.3,2475
127423,tt0192071,5.7,19148
127443,tt0192110,8.1,39
127444,tt0192111,5.4,14676
127450,tt0192126,4.1,620
127489,tt0192222,3.4,11
127494,tt0192237,6.8,139
127502,tt0192255,5.7,10586
127514,tt0192295,5.7,629
127536,tt0192346,6.7,63
127593,tt0192455,4.7,3785
127623,tt0192528,4.0,113
127657,tt0192614,5.6,32497
127666,tt0192630,7.1,22
127705,tt0192719,4.7,677
127707,tt0192722,6.8,39
127713,tt0192731,4.3,17764
127748,tt0192788,6.4,1263
127749,tt0192789,6.6,24
127795,tt0192912,4.1,118
127812,tt0192947,7.7,50
127814,tt0192949,5.6,1748
127844,tt0193011,5.2,51
127900,tt0193135,5.6,194
127981,tt0193318,3.1,730
128000,tt0193364,4.6,8627
128001,tt0193365,7.2,28
128061,tt0193537,3.9,108
128064,tt0193545,5.7,192
128071,tt0193560,5.2,6059
128084,tt0193598,6.4,22
128203,tt0193854,6.2,2326
128206,tt0193859,4.5,91
128317,tt0194104,7.0,2911
128338,tt0194143,4.9,754
128371,tt0194218,6.7,8520
128439,tt0194368,6.0,4109
128459,tt0194410,4.2,419
128521,tt0194519,6.8,369
128611,tt0194700,6.9,11
128739,tt0194942,2.7,28
128825,tt0195108,7.3,8
128877,tt0195234,6.9,18586
128922,tt0195308,4.4,369
128964,tt0195393,4.9,120
129044,tt0195551,6.4,65
129089,tt0195631,4.9,358
129116,tt0195685,7.4,196966
129131,tt0195714,6.7,253489
129155,tt0195778,5.1,8660
129182,tt0195857,5.2,149
129183,tt0195860,5.3,54
129217,tt0195933,7.0,6
129225,tt0195944,4.2,145
129226,tt0195945,6.1,40865
129279,tt0196068,5.0,227
129280,tt0196069,7.7,7994
129295,tt0196091,5.5,18
129303,tt0196106,4.1,2571
129333,tt0196158,3.5,7475
129357,tt0196216,6.6,38914
129360,tt0196219,2.2,1238
129364,tt0196223,5.3,1210
129367,tt0196229,6.5,264472
129605,tt0196708,6.2,2590
129611,tt0196723,5.6,1379
129785,tt0197072,3.8,637
129799,tt0197096,6.9,2755
129802,tt0197104,2.5,72
129922,tt0197299,3.7,117
129960,tt0197384,5.8,3414
130089,tt0197633,4.8,676
130096,tt0197644,4.4,162
130098,tt0197646,4.8,280
130158,tt0197750,3.9,2332
130161,tt0197753,5.6,541
130217,tt0197862,7.5,79
130246,tt0197918,3.4,17
130254,tt0197929,6.3,27
130267,tt0197951,4.0,508
130294,tt0197996,5.0,440
130307,tt0198013,8.8,18
130311,tt0198021,6.7,34388
130444,tt0198284,4.4,845
130465,tt0198320,6.1,12
130494,tt0198386,5.6,6253
130513,tt0198438,7.4,59
130525,tt0198460,5.7,283
130641,tt0198748,7.5,78
130657,tt0198781,8.1,898864
130666,tt0198794,5.6,45
130715,tt0198893,4.0,169
130720,tt0198903,5.3,249
130753,tt0198970,5.7,11
130771,tt0199007,4.3,393
130838,tt0199129,6.3,272
130921,tt0199290,4.6,3502
130935,tt0199314,5.8,6608
131009,tt0199481,2.7,5311
131020,tt0199504,5.3,65
131054,tt0199600,7.2,7
131056,tt0199602,6.7,33
131064,tt0199626,5.4,24629
131070,tt0199650,3.9,1029
131113,tt0199725,7.2,21724
131114,tt0199727,6.4,5472
131121,tt0199744,5.0,394
131126,tt0199753,5.7,58051
131207,tt0199898,4.8,281
131244,tt0199974,4.8,1097
131272,tt0200027,6.5,29183
131326,tt0200171,6.1,203
131337,tt0200192,5.4,5769
131463,tt0200422,4.8,803
131466,tt0200427,6.9,1737
131490,tt0200465,7.2,181764
131494,tt0200472,5.6,2337
131500,tt0200483,5.3,57
131524,tt0200525,6.3,25
131528,tt0200530,6.6,5638
131538,tt0200550,5.7,115369
131593,tt0200669,5.9,4477
131612,tt0200720,7.0,7578
